ID_Empf�nger;Shipment_ID;Loading_Date;Weight;Euc_Distance;Weekday;Delay
997;[27631];2020-12-10;394.0;78.56749418147875;3;-1.0
997;[27491];2020-12-07;2715.49;78.56749418147875;0;-2.0
997;[27041];2020-12-03;383.504;78.56749418147875;3;-1.0
997;[26821, 26610];2020-11-30;4772.030000000001;78.56749418147875;0;-1.0
997;[26393, 26275];2020-11-26;7781.58;78.56749418147875;3;-0.5
997;[26160, 26027];2020-11-23;2764.23;78.56749418147875;0;-1.5
997;[25878];2020-11-19;1804.0;78.56749418147875;3;-1.0
997;[25662, 25542];2020-11-16;7696.44;78.56749418147875;0;-1.5
997;[25263];2020-11-12;4222.21;78.56749418147875;3;-1.0
997;[25025, 24696];2020-11-09;3041.0600000000004;78.56749418147875;0;-1.0
997;[24406, 24150];2020-11-02;3095.56;78.56749418147875;0;-1.0
997;[24081];2020-10-29;7803.41;78.56749418147875;3;-1.0
997;[23832, 23531];2020-10-26;1887.0;78.56749418147875;0;-1.0
997;[23306];2020-10-19;1172.0;78.56749418147875;0;-2.0
997;[22734, 22573];2020-10-12;486.2;78.56749418147875;0;-1.0
997;[22165, 21949];2020-10-05;14525.78;78.56749418147875;0;-1.0
997;[21857];2020-10-01;1275.54;78.56749418147875;3;0.0
997;[21629, 21400];2020-09-28;13520.54;78.56749418147875;0;-1.0
997;[21123, 20852];2020-09-21;4960.15;78.56749418147875;0;-1.0
997;[20564, 20380];2020-09-14;5130.67;78.56749418147875;0;-1.0
997;[20122, 19872];2020-09-07;6508.299999999999;78.56749418147875;0;-1.0
997;[19547, 19240];2020-08-31;7608.16;78.56749418147875;0;-1.0
997;[19094, 18896];2020-08-24;6039.51;78.56749418147875;0;-1.0
997;[18604, 18270];2020-08-17;8510.14;78.56749418147875;0;-1.0
997;[18115];2020-08-10;740.0;78.56749418147875;0;-2.0
997;[17142, 16909];2020-07-27;178.333;78.56749418147875;0;-1.0
997;[16810];2020-07-23;4062.82;78.56749418147875;3;-1.0
997;[16605, 16416];2020-07-20;6666.3099999999995;78.56749418147875;0;-1.0
997;[16076, 15732];2020-07-13;3317.975;78.56749418147875;0;-1.0
997;[15443, 15171];2020-07-06;7569.975;78.56749418147875;0;-1.0
997;[14881, 14717];2020-06-29;1633.593;78.56749418147875;0;-1.0
997;[14347, 14096];2020-06-22;5800.1;78.56749418147875;0;-1.0
997;[13796, 13585];2020-06-15;6287.219999999999;78.56749418147875;0;-1.0
997;[13324, 12910];2020-06-08;4204.8099999999995;78.56749418147875;0;-1.0
997;[12770];2020-06-04;753.75;78.56749418147875;3;0.0
997;[12631];2020-06-01;7220.2;78.56749418147875;0;-2.0
997;[12337, 12033];2020-05-25;11942.48;78.56749418147875;0;-1.0
997;[11086];2020-05-11;1741.36;78.56749418147875;0;0.0
997;[10848, 10626];2020-05-04;4714.24;78.56749418147875;0;-1.0
997;[10348, 10162];2020-04-27;4515.8;78.56749418147875;0;-1.0
